id;name;description;price;sizeproduct;image;image_content_type
1;Steel;Consultant;57374;XXL;../fake-data/blob/hipster.png;image/png
2;support navigate;Chilean reboot b;70131;L;../fake-data/blob/hipster.png;image/png
3;withdrawal THX b;Metal;83023;L;../fake-data/blob/hipster.png;image/png
4;Franche-Comté throughput Sommerard;intermediate initiative Generic;32770;L;../fake-data/blob/hipster.png;image/png
5;Ball Small;Computer CFP orange;9548;L;../fake-data/blob/hipster.png;image/png
6;mobile Poitou-Charentes auxiliary;COM a Awesome;52784;M;../fake-data/blob/hipster.png;image/png
7;withdrawal invoice;Bike Shoes d'Argenteuil;20319;M;../fake-data/blob/hipster.png;image/png
8;pixel methodical quantifying;rich de c;79521;M;../fake-data/blob/hipster.png;image/png
9;Computer Alsace mobile;AGP lavender;71562;XL;../fake-data/blob/hipster.png;image/png
10;grey solution;Franche-Comté Ergonomic Ergonomic;5859;S;../fake-data/blob/hipster.png;image/png
