id;placed_date;status;code
1;2022-02-17T03:49:54;COMPLETED;Electronics
2;2022-02-16T22:11:53;COMPLETED;payment PCI violet
3;2022-02-17T08:40:46;CANCELLED;background out-of-the-box withdrawal
4;2022-02-16T12:43:47;COMPLETED;Music real-time
5;2022-02-16T20:47:56;CANCELLED;Hat
6;2022-02-17T09:32:44;PENDING;solid navigating
7;2022-02-16T19:28:30;PENDING;Toys maroon
8;2022-02-17T08:18:04;COMPLETED;Developpeur
9;2022-02-16T15:46:28;COMPLETED;Credit Soft Cotton
10;2022-02-17T06:29:04;CANCELLED;contingency Bedfordshire
